	318	2231	954	391	1251	2156	1766	1792	1679	1625	730	2330	1521	126	939	1581	1370	2107	1222	1532
318	NA	0.001	0.003	0.281	0.034	0	0	0.002	0.098	0	0	0	0.118	0	0	0	0	0	0.093	0
2231	0.001	NA	0.002	0.002	0.017	0.005	0.003	0	0	0.003	0	0	0.003	0	0	0	0	0.197	0	0
954	0.003	0.002	NA	0.002	0	0	0	0.003	0	0	0	0	0	0.006	0	0	0.003	0	0	0
391	0.281	0.002	0.002	NA	0.023	0	0	0	0.255	0	0	0	0	0	0	0	0	0	0.286	0
1251	0.034	0.017	0	0.023	NA	0	0	0	0	0.61	0.019	0	0.087	0	0	0	0	0	0.011	0.005
2156	0	0.005	0	0	0	NA	0	0	0	0	0.275	0	0	0	0	0	0	0	0	0.14
1766	0	0.003	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
1792	0.002	0	0.003	0	0	0	0	NA	0	0	0	0.785	0	0	0	0	0.609	0	0	0
1679	0.098	0	0	0.255	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0.07	0
1625	0	0.003	0	0	0.61	0	0	0	0	NA	0	0	0.114	0	0	0	0	0	0	0
730	0	0	0	0	0.019	0.275	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.059
2330	0	0	0	0	0	0	0	0.785	0	0	0	NA	0	0	0	0	0.59	0	0	0
1521	0.118	0.003	0	0	0.087	0	0	0	0	0.114	0	0	NA	0	0	0	0	0	0	0
126	0	0	0.006	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0
1581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0.333
1370	0	0	0.003	0	0	0	0	0.609	0	0	0	0.59	0	0	0	0	NA	0	0	0
2107	0	0.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0
1222	0.093	0	0	0.286	0.011	0	0	0	0.07	0	0	0	0	0	0	0	0	0	NA	0
1532	0	0	0	0	0.005	0.14	0	0	0	0	0.059	0	0	0	0	0.333	0	0	0	NA
