	1158	161	1262	511	122	1060	689	383	1244	500	389	1282	504	725	516	200	712	892	1124	241
1158	NA	0.064	0.157	0.011	0.145	0.051	0.08	0.062	0.009	0	0.053	0.009	0.009	0.017	0.034	0.003	0.05	0.038	0.02	0.001
161	0.064	NA	0.048	0.005	0.016	0.134	0.004	0.023	0.008	0.123	0.027	0.002	0	0.003	0.014	0.008	0.005	0.005	0.047	0.069
1262	0.157	0.048	NA	0	0.002	0	0	0.071	0.081	0	0	0.156	0.142	0.002	0.132	0	0.022	0	0	0
511	0.011	0.005	0	NA	0.002	0	0	0.019	0.099	0	0	0	0	0.011	0	0.03	0	0.015	0	0.003
122	0.145	0.016	0.002	0.002	NA	0.187	0.563	0	0	0	0	0	0	0.093	0	0	0	0	0	0
1060	0.051	0.134	0	0	0.187	NA	0.179	0.018	0.004	0	0.063	0	0	0	0	0	0	0	0.125	0.004
689	0.08	0.004	0	0	0.563	0.179	NA	0	0	0	0	0	0	0.121	0	0	0	0	0	0
383	0.062	0.023	0.071	0.019	0	0.018	0	NA	0	0	0	0.02	0.007	0	0.098	0.014	0.014	0.015	0	0
1244	0.009	0.008	0.081	0.099	0	0.004	0	0	NA	0	0	0.014	0.014	0.022	0	0.023	0	0.008	0	0
500	0	0.123	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0.541
389	0.053	0.027	0	0	0	0.063	0	0	0	0	NA	0	0	0	0	0	0	0	0.009	0
1282	0.009	0.002	0.156	0	0	0	0	0.02	0.014	0	0	NA	0.892	0	0.132	0	0	0	0	0
504	0.009	0	0.142	0	0	0	0	0.007	0.014	0	0	0.892	NA	0	0.097	0	0	0	0	0
725	0.017	0.003	0.002	0.011	0.093	0	0.121	0	0.022	0	0	0	0	NA	0	0	0	0	0	0
516	0.034	0.014	0.132	0	0	0	0	0.098	0	0	0	0.132	0.097	0	NA	0	0.029	0	0	0
200	0.003	0.008	0	0.03	0	0	0	0.014	0.023	0	0	0	0	0	0	NA	0	0	0	0
712	0.05	0.005	0.022	0	0	0	0	0.014	0	0	0	0	0	0	0.029	0	NA	0.198	0	0
892	0.038	0.005	0	0.015	0	0	0	0.015	0.008	0	0	0	0	0	0	0	0.198	NA	0	0
1124	0.02	0.047	0	0	0	0.125	0	0	0	0	0.009	0	0	0	0	0	0	0	NA	0
241	0.001	0.069	0	0.003	0	0.004	0	0	0	0.541	0	0	0	0	0	0	0	0	0	NA
