Upstream,Downstream,CDS
3,22,423
13,25,405
5,64,423
161,254,429
161,523,402
70,106,294
6,136,429
15,26,426
2,82,423
137,58,414
225,209,423
3,17,423
90,85,405
11,40,678
12,19,423
186,874,1530
11,2,426
346,5,456
35,11,417
152,158,423
624,108,3303
0,65,435
26,5,423
226,248,399
1,808,426
1,8,426
3,92,423
112,86,405
2770,203,363
39,71,420
20,31,426
222,32,393
25,14,444
3,831,423
6,23,423
133,118,387
143,537,372
16,64,426
139,233,1005
30,11,423
3,53,423
112,81,447
3,72,423
5,128,423
3,14,423
114,75,447
3,32,423
31,7,423
135,49,429
189,16,423
30,0,432
163,13,399
122,38,420
3,218,423
227,112,399
631,119,396
151,350,417
98,91,513
6,17,423
307,1873,303
18,7,426
4,199,423
0,68,738
61,203,423
10,0,432
365,195,405
3,452,423
42,74,423
2,334,423
106,4,396
43,86,423
174,113,402
95,73,423
3,5,423
5,35,426
16,0,426
64,52,426
331,81,789
2,107,423
137,109,414
136,104,1299
3,45,423
5,90,423
109,116,408
858,48,420
12,104,423
1,49,456
82,112,423
5,8,423
27,29,423
72,75,417
8,9,423
4,221,423
23,85,423
99,56,1035
11,731,429
4,922,429
12,103,450
169,52,405
3,17,423
4,103,423
171,66,411
3,20,423
53,0,426
205,22,444
148,12,423
49,41,1341
15,157,426
0,162,465
44,78,426
3,171,429
4,65,429
382,5,456
11,2,426
13,757,426
38,106,423
14,2,423
4,1001,429
4,11,426
6,11,423
0,0,570
0,0,1077
2,5,423
52,68,1035
20,807,420
517,4941,399
21,8,435
101,7,477
108,98,417
163,16,402
61,251,453
6,26,423
426,73,417
223,36,435
3,246,423
135,65,393
126,73,1026
5,13,423
77,0,543
65,90,462
28,172,432
13,0,426
20,774,426
18,774,426
13,0,426
5,8,426
5,19,426
110,48,420
139,33,399
3,209,423
220,8,465
211,82,975
13,7,423
3,57,423
91,52,405
27,22,423
3,20,423
86,12,453
82,982,426
37,126,1005
11,0,426
61,2,456
6,907,426
85,0,1203
66,829,429
86,12,453
232,5,408
18,184,423
464,123,441
169,31,432
19,7,423
981,291,402
6,20,423
114,1355,981
129,57,399
6,113,423
97,109,1569
73,97,420
13,345,426
151,174,405
10,134,423
214,434,399
3,44,423
100,6,381
6,14,423
100,107,408
353,148,423
9,64,423
22,14,426
204,1850,477
136,36,975
2,11,423
14,0,1248
4,5,417
27,29,417
3,18,423
10,5,423
129,0,1029
107,0,1050
94,16,423
3,552,423
264,0,462
172,31,396
3,349,426
15,409,426
273,0,381
222,263,378
3,37,423
5,16,426
916,509,402
202,73,408
5,32,426
4,14,423
26,13,438
16,8,432
11,17,426
60,65,426
205,201,408
107,14,402
1425,29,402
243,56,423
38,2,483
4,116,423
30,18,423
5,115,426
3,7,423
3,15,423
52,46,1023
1039,31,459
32,12,423
167,141,405
163,506,414
47,33,423
42,18,423
62,129,423
116,62,423
66,117,423
107,457,423
3,10,423
91,54,405
187,142,423
3,43,423
160,52,405
65,75,405
10,24,429
146,106,1008
29,47,423
89,11,435
5,19,423
127,15,390
17,173,423
13,17,423
91,19,396
10,115,399
72,69,426
5,10,423
272,33,1308
75,1,396
93,53,405
3,111,423
3,17,423
135,80,405
3,60,423
91,52,405
12,134,426
104,33,1002
185,120,444
4,266,423
79,76,396
114,8,390
6,12,423
30,247,426
5,10,423
5,65,423
5,10,423
107,0,234
5,212,423
65,388,432
5,212,423
7,2,447
8,160,423
19,1252,423
67,98,408
36,144,420
40,11,429
5,2,432
8,26,426
3,198,423
1019,140,420
4,18,423
101,254,381
5,13,429
22,18,423
5,64,423
85,25,405
3,57,423
161,53,405
93,59,405
3,104,423
202,88,408
69,628,402
3,73,411
138,85,417
104,18,1014
11,65,426
116,283,384
3,28,423
94,20,429
105,53,1038
7,74,429
244,47,417
3,66,426
8,20,423
3,108,423
66,87,402
46,37,456
3,8,423
37,20,423
195,4,1212
3,56,423
4,5,423
4,24,423
4,214,423
60,98,432
0,0,540
135,56,414
2,76,423
114,199,399
2,155,423
49,41,423
779,623,438
138,55,414
2,115,423
2,222,423
188,73,390
19,77,423
2,206,423
136,139,414
382,157,417
123,121,399
4,0,423
31,33,423
80,37,426
4,103,423
247,397,411
118,10,1266
90,82,405
182,999,402
